track_id,title,artist,genre,danceability,energy,valence,acousticness,instrumentalness,tempo,popularity
72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,Elton John;Britney Spears,piano,0.667,0.75,0.486,0.0746,0.000198,126.041,89
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris;Dua Lipa,pop,0.791,0.862,0.592,0.037,2.19e-05,123.994,89
3fjN3y5x4hN53rykAN2LHQ,cómo dormiste?,Rels B,latino,0.627,0.429,0.565,0.238,0.0,126.426,89
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish;Khalid,pop,0.351,0.296,0.12,0.934,0.0,115.284,89
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,pop,0.591,0.764,0.478,0.0383,0.0,169.928,89
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future;Drake;Tems,hip-hop,0.463,0.642,0.339,0.314,0.0,83.389,89
0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,rock,0.773,0.742,0.571,0.0206,0.0,114.071,89
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,country,0.369,0.192,0.148,0.555,8.35e-06,175.212,89
1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,hip-hop,0.836,0.743,0.722,0.0995,0.0,108.966,89
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,pop,0.68,0.826,0.644,0.0212,1.24e-05,118.051,89
27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,Armani White,hip-hop,0.9,0.509,0.765,0.115,1.67e-06,100.007,89
1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Coolio;L.V.,funk,0.647,0.514,0.386,0.0655,0.0,79.975,89
4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,indie,0.575,0.648,0.466,0.583,0.0,75.977,89
5jt25aFjW2kNoBqaEVaz5W,LA INOCENTE,Mora;Feid,latino,0.757,0.789,0.464,0.307,0.0,91.911,89
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,pop,0.548,0.816,0.557,0.122,0.0,95.39,89
2HZLXBOnaSRhXStMLrq9fD,Mary On A Cross,Ghost,rock,0.466,0.9,0.561,0.000235,0.00104,130.02,88
6DoL1yYIwEW7VZMRaJhoJI,La Llevo Al Cielo (Ft. Ñengo Flow),Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,latino,0.795,0.845,0.769,0.105,1.14e-05,170.023,88
7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,Sam Smith,dance,0.677,0.485,0.493,0.529,2.04e-05,82.001,88
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies;Calum Scott,edm,0.671,0.636,0.262,0.515,0.000411,120.966,88
5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,pop,0.38,0.339,0.0849,0.691,0.0,100.607,88
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,hip-hop,0.69,0.521,0.494,0.324,0.0,100.028,88
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,pop,0.615,0.534,0.193,0.106,1.76e-05,135.917,88
2gYj9lubBorOPIVWsTXugG,After LIKE,IVE,k-pop,0.68,0.922,0.799,0.103,0.0,125.014,88
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,indie,0.548,0.532,0.405,0.186,0.000263,85.03,88
0kTMK4gNFfLXaTb62w1UaJ,BABY OTAKU,Pablo Pesadilla;Polimá Westcoast;Nickoog Clk;Fran C,latino,0.835,0.747,0.432,0.0492,0.0,102.003,88
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,pop,0.582,0.525,0.51,0.111,0.0,133.249,88
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,garage,0.691,0.631,0.8,0.0483,1.13e-05,92.004,88
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,pop,0.807,0.893,0.537,0.0451,2.79e-05,126.011,88
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin;Bad Bunny,latino,0.754,0.646,0.429,0.152,1.85e-05,176.089,88
0BxE4FqsDD1Ot4YuBXwAPp,505,Arctic Monkeys,rock,0.526,0.866,0.248,0.00287,7.78e-05,140.266,88
6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,dance,0.824,0.764,0.881,0.0888,0.00294,107.998,88
5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,pop,0.561,0.431,0.137,0.768,1.42e-05,143.875,88
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,hip-hop,0.908,0.669,0.662,0.00286,0.0,112.238,88
6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,indian,0.577,0.574,0.436,0.572,0.0,94.009,88
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,pop,0.761,0.525,0.531,0.44,6.7e-06,80.87,88
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,rock,0.776,0.78,0.666,0.0622,0.0,124.949,88
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,pop,0.601,0.741,0.441,0.185,2.91e-05,153.96,88
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,pop,0.585,0.564,0.137,0.0671,0.0,113.003,88
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,pop,0.672,0.52,0.37,0.859,0.0,120.001,88
2TktkzfozZifbQhXjT6I33,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,soul,0.697,0.336,0.31,0.598,0.00528,82.029,88
4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,pop,0.563,0.664,0.688,0.335,0.0,166.928,88
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,pop,0.332,0.225,0.297,0.767,0.00349,81.055,88
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,Lil Nas X,hip-hop,0.737,0.846,0.546,0.00614,0.0,87.981,87
73vIOb4Q7YN6HeJTbscRx5,Miss You,Oliver Tree;Robin Schulz,alternative,0.587,0.742,0.199,0.0128,0.00107,145.007,87
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,pop,0.357,0.425,0.27,0.584,0.0,102.078,87
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,hip-hop,0.949,0.661,0.76,0.0302,0.0,104.504,87
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,pop,0.599,0.448,0.168,0.163,0.0,95.05,87
2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,latino,0.644,0.648,0.44,0.276,0.0,179.951,87
0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,dance,0.756,0.697,0.956,0.182,0.0,94.996,87
5CzixCxDkRXX9mScCmah8O,Un Ratito,Bad Bunny,reggae,0.787,0.546,0.222,0.305,4.55e-05,93.05,87
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,pop,0.501,0.405,0.446,0.751,0.0,109.891,87
6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,pop,0.442,0.612,0.178,0.584,5.7e-06,180.917,87
7fZBQnc0zXwVybgCIrQQil,Belly Dancer,Imanbek;BYOR,house,0.845,0.797,0.422,0.0582,5.57e-06,121.985,87
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,rock,0.588,0.521,0.337,0.0678,0.149,85.012,87
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,dance,0.726,0.698,0.867,0.049,0.0,143.994,87
10xV5l9nhLvFpR8mqzs0bL,Numb,Marshmello;Khalid,edm,0.912,0.774,0.632,0.121,0.0127,119.966,87
4cacyP5c3PMlfnyjpg13xW,Betty (Get Money),Yung Gravy,hip-hop,0.723,0.772,0.58,0.00524,1.15e-05,102.004,87
0xzI1KAr0Yd9tv8jlIk3sn,Bad Decisions (with BTS & Snoop Dogg),benny blanco;BTS;Snoop Dogg,electro,0.762,0.861,0.955,0.0185,0.0,120.048,87
3kUq4sBcmxhnOtNysZ9yrp,Feliz Cumpleaños Ferxxo,Feid,latino,0.87,0.55,0.566,0.102,0.0,95.019,87
62ke5zFUJN6RvtXZgVH0F8,Only Love Can Hurt Like This,Paloma Faith,soul,0.566,0.885,0.304,0.0958,9.97e-05,90.99,87
4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy;Bad Bunny;Julieta Venegas,reggaeton,0.639,0.703,0.138,0.0889,1.78e-06,169.888,87
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,synth-pop,0.645,0.795,0.535,0.347,0.00389,112.067,87
6VrQTLzzuyGIYjUDe4kAZk,Un Coco,Bad Bunny,latino,0.839,0.69,0.744,0.207,8.33e-06,151.991,87
4d4ZXH4dr5bYfgErHiZCX2,Dos Mil 16,Bad Bunny,latino,0.817,0.67,0.495,0.123,1.92e-06,130.058,87
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,emo,0.746,0.251,0.18,0.782,0.00203,139.999,87
6tCd8bPvYnceDG7W9M1RMk,Shut Down,BLACKPINK,k-pop,0.813,0.657,0.651,0.00269,0.0,110.053,87
4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,pop,0.695,0.54,0.415,0.299,0.0,121.932,86
3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,indie,0.714,0.8,0.589,0.127,0.0,134.002,86
44XjoNvtwevktFKjvVe1vH,Andrea,Bad Bunny;Buscabulla,latino,0.797,0.616,0.451,0.762,0.000293,103.071,86
2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION,emo,0.592,0.457,0.225,0.661,0.000331,146.04,86
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,hip-hop,0.591,0.764,0.478,0.0383,0.0,169.928,86
5fwSHlTEWpluwOM0Sxnh5k,Pepas,Farruko,latino,0.762,0.766,0.442,0.00776,6.98e-05,130.001,86
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,pop,0.825,0.652,0.931,0.581,0.0,95.977,86
7EkWXAI1wn8Ii883ecd9xr,Freaks,Surf Curse,indie,0.345,0.941,0.407,3.84e-05,0.633,179.626,86
2K7xn816oNHJZ0aVqdQsha,Softcore,The Neighbourhood,alternative,0.575,0.568,0.37,0.0484,0.000417,93.986,86
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,pop,0.532,0.623,0.403,0.538,7.28e-05,89.937,86
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,pop,0.736,0.704,0.894,0.0203,0.0,149.995,86
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,dance,0.527,0.835,0.654,0.0166,0.0,125.983,86
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,dance,0.866,0.813,0.969,0.38,0.0,121.998,86
18asYwWugKjjsihZ0YvRxO,The Motto,Tiësto;Ava Max,dance,0.754,0.763,0.464,0.0301,2.23e-05,117.953,86
3PpWCS95gDUDRPko3u1MZ9,Prohibidox,Feid,reggaeton,0.647,0.801,0.517,0.0451,0.0,180.108,86
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;Giveon,pop,0.677,0.696,0.464,0.321,0.0,90.03,86
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,electro,0.704,0.225,0.243,0.902,0.657,120.006,86
0RDqNCRBGrSegk16Avfzuq,Talk that Talk,TWICE,k-pop,0.772,0.907,0.783,0.136,0.0,119.973,86
1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,rock,0.728,0.783,0.555,0.237,0.0,77.011,86
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,rock,0.352,0.911,0.236,0.00121,0.0,148.033,86
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,rock,0.82,0.452,0.74,0.543,0.00294,117.401,86
1rDQ4oMwGJI7B4tovsBOxc,First Class,Jack Harlow,k-pop,0.905,0.563,0.324,0.0254,9.71e-06,106.998,86
4xkOaSrkexMciUUogZKVTS,Till I Collapse,Eminem;Nate Dogg,hip-hop,0.548,0.847,0.1,0.0622,0.0,171.447,86
5uU1uuyaUIBOiiUSQG7Wl3,You Proof,Morgan Wallen,country,0.731,0.85,0.644,0.252,0.0,119.706,86
1ei3hzQmrgealgRKFxIcWn,In The Stars,Benson Boone,pop,0.362,0.54,0.3,0.338,0.0,78.007,86
2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,pop,0.395,0.443,0.338,0.765,9.67e-06,168.924,86
4woTEX1wYOTGDqNXuavlRC,Superman,Eminem;Dina Rae,hip-hop,0.802,0.755,0.58,0.0215,0.0,130.027,86
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,metal,0.532,0.887,0.795,0.0778,0.000214,122.511,85
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,alternative,0.515,0.43,0.104,0.0097,0.000133,91.844,85
3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA;James Carter;Elley Duhé;FAST BOY,edm,0.607,0.767,0.662,0.118,0.0,123.998,85
0E0DRHf5PfMeor0ZCwB3oT,Otro Atardecer,Bad Bunny;The Marías,latino,0.777,0.595,0.546,0.59,0.00139,108.02,85
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,pop,0.358,0.557,0.494,0.695,0.0,85.043,85
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers;Coldplay,dance,0.617,0.635,0.446,0.0498,1.44e-05,103.019,85
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),Marshmello;Jonas Brothers,edm,0.721,0.738,0.637,0.00226,4.41e-06,119.976,85
1WCEAGGRD066z2Q89ObXTq,Crazy What Love Can Do,David Guetta;Becky Hill;Ella Henderson,edm,0.601,0.713,0.464,0.0282,0.0,122.872,85
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,edm,0.532,0.783,0.643,0.0038,0.0012,124.08,85
29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,piano,0.625,0.533,0.139,0.659,0.00266,108.296,85
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,pop,0.491,0.693,0.412,0.211,6.92e-06,90.027,85
2z9YkcLojiOE7Eu2p9lPZR,Normal,Feid,latino,0.712,0.557,0.594,0.0397,0.0,170.079,85
1bgKMxPQU7JIZEhNsM1vFs,Words (feat. Zara Larsson),Alesso;Zara Larsson,electro,0.739,0.586,0.444,0.0245,0.000252,124.026,85
10SRMwb9EuVS1K9rYsBfHQ,Yet To Come,BTS,pop,0.559,0.885,0.683,0.0432,0.0,172.029,85
1SKPmfSYaPsETbRHaiA18G,Somewhere Only We Know,Keane,piano,0.448,0.665,0.304,0.06,2.55e-05,172.004,85
2bRKxuH1o7pTmb1y4GfdEc,Clean White Noise - Loopable with no fade,White Noise Baby Sleep;White Noise for Babies,sleep,0.0,0.00342,0.0,0.791,1.0,0.0,85
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,metal,0.556,0.864,0.4,0.00958,0.0,105.143,85
1Ame8XTX6QHY0l0ahqUhgv,THE LONELIEST,Måneskin,rock,0.519,0.595,0.237,0.00151,0.0,129.786,85
35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,pop,0.737,0.802,0.682,0.468,0.0,144.015,85
5fhcuVxuBWfgNXGuyAtLmr,Los Cachos,Piso 21;Manuel Turizo,reggae,0.774,0.73,0.421,0.108,0.0,91.966,85
48AJSd42lXpicsGqcgopof,X ÚLTIMA VEZ,Daddy Yankee;Bad Bunny,reggae,0.812,0.855,0.573,0.0789,0.000167,90.04,85
5kVZxyMY1gfdCLiChsfjn1,Yo No Soy Celoso,Bad Bunny,reggaeton,0.872,0.588,0.93,0.275,0.0,142.004,85
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,pop,0.359,0.543,0.453,0.492,1.58e-05,68.534,85
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,soul,0.545,0.545,0.549,0.667,5.48e-05,159.94,85
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,soul,0.422,0.264,0.331,0.922,0.0,119.93,85
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,synth-pop,0.573,0.902,0.876,0.018,0.00125,84.412,85
1ri9ZUkBJVFUdgwzCnfcYs,MAMIII,Becky G;KAROL G,reggaeton,0.843,0.7,0.899,0.0934,0.0,93.991,85
28GCbKgjlVD9eDmasGbe0T,Me Fui de Vacaciones,Bad Bunny,latino,0.714,0.645,0.434,0.229,0.00083,85.046,85
4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,pop,0.775,0.327,0.595,0.841,0.0,91.05,85
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,electro,0.652,0.557,0.483,0.74,0.0,150.073,85
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa;DaBaby,pop,0.702,0.825,0.915,0.00883,0.0,102.977,85
3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean,soul,0.913,0.603,0.497,0.0272,0.000503,123.061,85
2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),Gesaffelstein;The Weeknd,techno,0.658,0.671,0.166,0.0933,0.000927,100.966,85
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,rock,0.31,0.7,0.763,0.011,0.00965,188.386,85
04sN26COy28wTXYj3dMoiZ,Bored,Billie Eilish,electro,0.614,0.318,0.112,0.896,0.00239,119.959,85
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,pop,0.746,0.765,0.737,0.0112,0.0,114.044,85
6CDzDgIUqeDY5g8ujExx2f,Heat Waves,Glass Animals,indie,0.761,0.525,0.531,0.44,6.7e-06,80.87,85
0Q5VnK2DYzRyfqQRJuUtvi,LOVE DIVE,IVE,k-pop,0.703,0.709,0.538,0.00379,5.43e-05,117.941,85
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,XXXTENTACION,hip-hop,0.734,0.57,0.689,0.847,2.14e-05,129.953,85
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,rock,0.734,0.637,0.648,0.0462,2.29e-05,169.977,85
0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,Fujii Kaze,j-pop,0.6,0.76,0.519,0.166,4.09e-05,158.078,85
2DgdHcjWmO3qd50RzuBLgZ,House of Memories,Panic! At The Disco,rock,0.506,0.817,0.506,0.00272,0.0,109.952,85
1SOClUWhOi8vHZYMz3GluK,Infinity,Jaymes Young,pop,0.671,0.673,0.494,0.148,5.29e-05,121.963,85
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,pop,0.614,0.379,0.201,0.607,0.000464,107.989,85
7EyhPjrJzjx0fk2i7vUJCS,Pink Venom,BLACKPINK,k-pop,0.794,0.719,0.69,0.0119,0.0,90.016,85
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,rock,0.605,0.822,0.288,0.00671,0.134,167.997,85
2TDyyEBasw10wu5Uh94bR1,PUNTO 40,Rauw Alejandro;Baby Rasta,latino,0.873,0.826,0.201,0.00127,0.0361,106.972,85
2hLXUbsOU9cDb9RFva9FYr,MEMORIAS,Mora;Jhayco,latino,0.771,0.707,0.317,0.389,0.0,127.963,85
1zi7xx7UVEFkmKfv06H8x0,One Dance,Drake;Wizkid;Kyla,hip-hop,0.792,0.625,0.37,0.00776,0.0018,103.967,85
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,british,0.604,0.366,0.13,0.578,0.0,141.981,85
3UmaczJpikHgJFyBTAJVoz,Stan,Eminem;Dido,hip-hop,0.78,0.768,0.507,0.0371,2.34e-06,80.063,85
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,hard-rock,0.574,0.913,0.423,0.061,0.00158,115.728,85
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,pop,0.76,0.703,0.57,0.103,0.0,95.997,85
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira;Wyclef Jean,dance,0.778,0.824,0.758,0.284,0.0,100.024,84
